"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"5659",232525,4443,NA,NA,NA,"5795, 16569","peptide-methionine-(S)-S-oxide reductase activity, peptide-methionine (R)-S-oxide reductase activity","GO:0008113, GO:0033743","KOG0856","Predicted pilin-like transcription factor","Posttranslational modification, protein turnover, chaperones",NA,NA,5671,"RDEBS01226","RDEBS01226","Peptide methionine sulfoxide reductase msrB (EC 1.8.4.11)","jgi.p|Debsub1|232525"
"5660",232528,4444,NA,NA,NA,"3930, 4758, 9321, 9834","cytoplasm, lipid metabolic process, integral to membrane, oxidoreductase activity, acting on the CH-CH group of donors","GO:0005737, GO:0006629, GO:0016021, GO:0016627","KOG1639","Steroid reductase required for elongation of the very long chain fatty acids","Lipid transport and metabolism",NA,NA,5666,"RDEBS01253","RDEBS01253",NA,"jgi.p|Debsub1|232528"
"5661",232536,4445,NA,NA,NA,NA,NA,NA,"KOG1837","Uncharacterized conserved protein","Function unknown",NA,NA,5653,"RDEBS01370","RDEBS01370",NA,"jgi.p|Debsub1|232536"
"5662",232555,4446,"6.1.1.4","Leucine--tRNA ligase.","Valine, leucine and isoleucine biosynthesis","162, 3172, 3736, 3930, 4556, 4561, 3183","nucleotide binding, aminoacyl-tRNA ligase activity, ATP binding, cytoplasm, translation, tRNA aminoacylation for protein translation, leucine-tRNA ligase activity","GO:0000166, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0004823","KOG0437","Leucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis",NA,NA,5681,"RDEBS01163","RDEBS01163","Leucyl-tRNA synthetase (EC 6.1.1.4)","jgi.p|Debsub1|232555"
"5663",232627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,"RDEBS08008","RDEBS08008","Hypothetical protein","jgi.p|Debsub1|232627"
"5664",232804,4447,NA,NA,NA,NA,NA,NA,"KOG2585","Uncharacterized conserved protein","Function unknown",NA,NA,2001,"RDEBS22060","RDEBS22060","Hypothetical protein","jgi.p|Debsub1|232804"
"5665",232863,4448,NA,NA,NA,NA,NA,NA,"KOG2328","Chromosome condensation complex Condensin, subunit H","Chromatin structure and dynamics , Cell cycle control, cell division, chromosome partitioning",NA,NA,1350,"RDEBS25728","RDEBS25728",NA,"jgi.p|Debsub1|232863"
"5666",233060,4449,NA,NA,NA,"162, 10269, 3736, 3838, 3930, 9985, 13056","nucleotide binding, nucleoside-triphosphatase activity, ATP binding, nucleus, cytoplasm, hydrolase activity, protein catabolic process","GO:0000166, GO:0017111, GO:0005524, GO:0005634, GO:0005737, GO:0016787, GO:0030163","KOG0726","26S proteasome regulatory complex, ATPase RPT2","Posttranslational modification, protein turnover, chaperones",NA,NA,396,"RDEBS30625","RDEBS30625","19S/PA700 proteasome regulatory particle subunit Rpt2p/S4 (EC 3.6.1.3)","jgi.p|Debsub1|233060"
"5667",233070,4450,"1.6.99.1","NADPH dehydrogenase.","\N","7744, 9710, 2412","FMN binding, oxidoreductase activity, NADPH dehydrogenase activity","GO:0010181, GO:0016491, GO:0003959","KOG0134","NADH:flavin oxidoreductase/12-oxophytodienoate reductase","Energy production and conversion , General function prediction only",NA,NA,306,"RDEBS30968","RDEBS30968","NADPH dehydrogenase (EC 1.6.99.1)","jgi.p|Debsub1|233070"
"5668",233248,4451,NA,NA,NA,"2227, 3827, 4025, 4556","structural constituent of ribosome, intracellular, ribosome, translation","GO:0003735, GO:0005622, GO:0005840, GO:0006412","KOG0886","40S ribosomal protein S2","Translation, ribosomal structure and biogenesis",NA,NA,4983,"RDEBS04639","RDEBS04639","LSU ribosomal protein L11P","jgi.p|Debsub1|233248"
"5669",233287,4452,NA,NA,NA,"2229, 4035, 4558","translation elongation factor activity, eukaryotic translation elongation factor 1 complex, translational elongation","GO:0003746, GO:0005853, GO:0006414","KOG1627","Translation elongation factor EF-1 gamma","Translation, ribosomal structure and biogenesis",NA,NA,4550,"RDEBS07214","RDEBS07214","Protein Translation Elongation Factor 1B subunit beta (EF-1Bb)","jgi.p|Debsub1|233287"
"5670",233326,4453,"5.3.4.1","Protein disulfide isomerase.","\N","2234","protein disulfide isomerase activity","GO:0003756","KOG0908","Thioredoxin-like protein","Posttranslational modification, protein turnover, chaperones",NA,NA,4189,"RDEBS09265","RDEBS09265",NA,"jgi.p|Debsub1|233326"
"5671",233364,4454,NA,NA,NA,"2216","RNA binding","GO:0003723",NA,NA,NA,NA,NA,3741,"RDEBS11740","RDEBS11740","SSU ribosomal protein MRPS4","jgi.p|Debsub1|233364"
"5672",233409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3240,"RDEBS14634","RDEBS14634",NA,"jgi.p|Debsub1|233409"
"5673",233411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3221,"RDEBS14741","RDEBS14741",NA,"jgi.p|Debsub1|233411"
"5674",233416,4455,NA,NA,NA,NA,NA,NA,"KOG1009","Chromatin assembly complex 1 subunit B/CAC2 (contains WD40 repeats)","Chromatin structure and dynamics , Replication, recombination and repair",NA,NA,3168,"RDEBS14966","RDEBS14966","Chromatin assembly factor 1 subunit B","jgi.p|Debsub1|233416"
"5675",233431,4456,NA,NA,NA,"587, 2176, 3838, 4484","nucleosome, DNA binding, nucleus, nucleosome assembly","GO:0000786, GO:0003677, GO:0005634, GO:0006334","KOG1744","Histone H2B","Chromatin structure and dynamics",NA,NA,3009,"RDEBS15890","RDEBS15890","Histone H2B","jgi.p|Debsub1|233431"
"5676",233606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1288,"RDEBS26075","RDEBS26075",NA,"jgi.p|Debsub1|233606"
"5677",233651,4457,NA,NA,NA,"2175, 2792, 3736","nucleic acid binding, helicase activity, ATP binding","GO:0003676, GO:0004386, GO:0005524","KOG0953","Mitochondrial RNA helicase SUV3, DEAD-box superfamily","RNA processing and modification",NA,NA,939,"RDEBS27618","RDEBS27618","ATP-dependent RNA helicase SUV3, mitochondrial (EC 3.6.4.13)","jgi.p|Debsub1|233651"
"5678",233837,4458,"1.2.1.3","Aldehyde dehydrogenase (NAD+).","1,2-Dichloroethane degradation","5830, 9710, 2473","metabolic process, oxidoreductase activity, aldehyde dehydrogenase (NAD) activity","GO:0008152, GO:0016491, GO:0004029","KOG2450","Aldehyde dehydrogenase","Energy production and conversion",NA,NA,50,"RDEBS32668","RDEBS32668","Aldehyde dehydrogenase  NADP (EC 1.2.1.4) / Aldehyde dehydrogenase  NAD (EC 1.2.1.3)","jgi.p|Debsub1|233837"
"5679",233841,4459,NA,NA,NA,NA,NA,NA,"KOG1575","Voltage-gated shaker-like K+ channel, subunit beta/KCNAB","Energy production and conversion",NA,NA,121,"RDEBS32774","RDEBS32774","Oxidoreductase (EC 1.1.1.-)","jgi.p|Debsub1|233841"
"5680",233846,4460,NA,NA,NA,"4977, 8535, 9320, 9321, 4927","amino acid transport, amino acid transmembrane transporter activity, membrane, integral to membrane, transport","GO:0006865, GO:0015171, GO:0016020, GO:0016021, GO:0006810","KOG1286","Amino acid transporters","Amino acid transport and metabolism",NA,NA,31,"RDEBS32927","RDEBS32927","Proline-specific permease","jgi.p|Debsub1|233846"
"5681",233915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4976,"RDEBS04811","RDEBS04811",NA,"jgi.p|Debsub1|233915"
"5682",233916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4970,"RDEBS04846","RDEBS04846","Hypothetical protein","jgi.p|Debsub1|233916"
"5683",233976,4461,"3.6.1.3","Adenosinetriphosphatase.","Purine metabolism","3736, 3827, 4504, 5814, 162, 10269, 3727, 11802, 2450, 2451, 5716, 5778, 5860, 8800, 10082, 10273, 18132, 18133, 18134, 18135","ATP binding, intracellular, regulation of transcription, DNA-dependent, transcription factor binding, nucleotide binding, nucleoside-triphosphatase activity, protein binding, protein metabolic process, ATP-dependent DNA helicase activity, ATP-dependent RNA helicase activity, ATP-dependent helicase activity, DNA-dependent ATPase activity, RNA-dependent ATPase activity, protein-transmembrane transporting ATPase activity, ATPase activity, single-stranded DNA-dependent ATP-dependent DNA helicase activity, ATPase activity, coupled, ATPase activity, uncoupled, ATPase activity, coupled to transmembrane movement of ions, ATPase activity, coupled to transmembrane movement of substances","GO:0005524, GO:0005622, GO:0006355, GO:0008134, GO:0000166, GO:0017111, GO:0005515, GO:0019538, GO:0004003, GO:0004004, GO:0008026, GO:0008094, GO:0008186, GO:0015462, GO:0016887, GO:0017116, GO:0042623, GO:0042624, GO:0042625, GO:0042626","KOG1051","Chaperone HSP104 and related ATP-dependent Clp proteases","Posttranslational modification, protein turnover, chaperones",NA,NA,4280,"RDEBS08713","RDEBS08713","Endopeptidase Clp (EC 3.4.21.92)","jgi.p|Debsub1|233976"
"5684",234054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3547,"RDEBS12826","RDEBS12826",NA,"jgi.p|Debsub1|234054"
"5685",234115,4462,NA,NA,NA,NA,NA,NA,"KOG1862","GYF domain containing proteins","General function prediction only",NA,NA,3041,"RDEBS15480","RDEBS15480","SMY2 protein","jgi.p|Debsub1|234115"
"5686",234239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1805,"RDEBS22842","RDEBS22842","DNA damage checkpoint protein","jgi.p|Debsub1|234239"
"5687",234276,4463,NA,NA,NA,"2196, 3838, 4504, 5939","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding","GO:0003700, GO:0005634, GO:0006355, GO:0008270",NA,NA,NA,NA,NA,1450,"RDEBS24645","RDEBS24645","Suppressor protein SEF1","jgi.p|Debsub1|234276"
"5688",234327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029,"RDEBS27218","RDEBS27218","Hypothetical membrane spanning protein","jgi.p|Debsub1|234327"
"5689",234363,4464,NA,NA,NA,"2241, 3736, 9681","motor activity, ATP binding, myosin complex","GO:0003774, GO:0005524, GO:0016459","KOG0161","Myosin class II heavy chain","Cytoskeleton",NA,NA,844,"RDEBS28220","RDEBS28220","Myosin-1 isoform","jgi.p|Debsub1|234363"
"5690",234417,4465,NA,NA,NA,"2175, 2792, 3736, 5716","nucleic acid binding, helicase activity, ATP binding, ATP-dependent helicase activity","GO:0003676, GO:0004386, GO:0005524, GO:0008026","KOG0922","DEAH-box RNA helicase","RNA processing and modification",NA,NA,590,"RDEBS29729","RDEBS29729","RNA helicase (EC 3.6.4.13)","jgi.p|Debsub1|234417"
"5691",234460,4466,"2.4.1.117","Dolichyl-phosphate beta-glucosyltransferase.","N-Glycans biosynthesis","2957","dolichyl-phosphate beta-glucosyltransferase activity","GO:0004581","KOG2977","Glycosyltransferase","General function prediction only",NA,NA,400,"RDEBS30603","RDEBS30603","Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117)","jgi.p|Debsub1|234460"
"5692",234500,4467,NA,NA,NA,"4931, 6160, 9320","sodium ion transport, bile acid:sodium symporter activity, membrane","GO:0006814, GO:0008508, GO:0016020",NA,NA,NA,NA,NA,322,"RDEBS31658","RDEBS31658","Arsenical-resistance protein ACR3","jgi.p|Debsub1|234500"
"5693",234537,4468,"6.3.2.19","Ubiquitin--protein ligase.","\N","4598, 4643, 6275, 2290, 3200, 24685, 24687, 24690, 24691","protein modification process, ubiquitin cycle, small protein activating enzyme activity, catalytic activity, ubiquitin-protein ligase activity, regulation of ubiquitin-protein ligase activity, regulation of ubiquitin-protein ligase activity during meiotic cell cycle, positive regulation of ubiquitin-protein ligase activity, negative regulation of ubiquitin-protein ligase activity","GO:0006464, GO:0006512, GO:0008641, GO:0003824, GO:0004842, GO:0051438, GO:0051440, GO:0051443, GO:0051444","KOG2013","SMT3/SUMO-activating complex, catalytic component UBA2","Posttranslational modification, protein turnover, chaperones",NA,NA,5212,"RDEBS02970","RDEBS02970","SUMO-activating enzyme E1 Uba2 subunit","jgi.p|Debsub1|234537"
"5694",234567,4469,NA,NA,NA,"3043, 3736, 4602, 3045, 3053","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, calmodulin-dependent protein kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004683","KOG0032","Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily","Signal transduction mechanisms",NA,NA,4936,"RDEBS04964","RDEBS04964",NA,"jgi.p|Debsub1|234567"
"5695",234617,4470,"6.1.1.21","Histidine--tRNA ligase.","Histidine metabolism","3172, 3736, 4556, 162, 3181, 3930, 4570","aminoacyl-tRNA ligase activity, ATP binding, translation, nucleotide binding, histidine-tRNA ligase activity, cytoplasm, histidyl-tRNA aminoacylation","GO:0004812, GO:0005524, GO:0006412, GO:0000166, GO:0004821, GO:0005737, GO:0006427","KOG1936","Histidyl-tRNA synthetase","Translation, ribosomal structure and biogenesis",NA,NA,4388,"RDEBS08074","RDEBS08074","Histidyl-tRNA synthetase (EC 6.1.1.21)","jgi.p|Debsub1|234617"
"5696",234692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3371,"RDEBS13974","RDEBS13974","Hypothetical protein","jgi.p|Debsub1|234692"
"5697",234925,4471,"2.1.1.-","Methyltransferases.","Androgen and estrogen metabolism","175, 2346, 5847, 5848, 5849, 5850, 5851, 5852, 5853, 5945, 5992, 6085, 6281, 6282, 6619, 6977, 9489, 9552, 9553, 9556, 9557, 9572, 9652, 9653, 9654, 9655, 9659, 9661, 9662, 9663, 9664, 10743, 11011, 11960, 13642, 19234, 19240, 19241, 19244, 19246, 19254, 19255, 19267, 19291, 19297, 19298, 19315, 19316","rRNA (adenine-N6,N6-)-dimethyltransferase activity, C-terminal protein carboxyl methyltransferase activity, C-methyltransferase activity, N-methyltransferase activity, O-methyltransferase activity, S-methyltransferase activity, RNA methyltransferase activity, mRNA methyltransferase activity, tRNA methyltransferase activity, protein methyltransferase activity, site-specific DNA-methyltransferase (cytosine-specific) activity, 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity, rRNA methyltransferase activity, rRNA (uridine-2'-O-)-methyltransferase activity, DNA-methyltransferase activity, rRNA (cytosine-C5-967)-methyltransferase activity, selenocysteine methyltransferase activity, arginine N-methyltransferase activity, protein-arginine N-methyltransferase activity, lysine N-methyltransferase activity, protein-lysine N-methyltransferase activity, tRNA (uracil) methyltransferase activity, tRNA (guanine) methyltransferase activity, tRNA (guanosine) methyltransferase activity, tRNA (adenine)-methyltransferase activity, tRNA (cytosine)-methyltransferase activity, tRNA (uridine) methyltransferase activity, rRNA (adenine) methyltransferase activity, rRNA (cytosine) methyltransferase activity, rRNA (guanine) methyltransferase activity, rRNA (uridine) methyltransferase activity, protein-leucine O-methyltransferase activity, 1-phenanthrol methyltransferase activity, protein-arginine N5-methyltransferase activity, methylarsonite methyltransferase activity, demethylmenaquinone methyltransferase activity, cobalt-precorrin-6B C5-methyltransferase activity, cobalt-precorrin-7 C15-methyltransferase activity, cobalt-precorrin-5B C1-methyltransferase activity, cobalt-precorrin-3 C17-methyltransferase activity, dimethyladenosine transferase activity, dimethylamine methyltransferase activity, hydroxyneurosporene-O-methyltransferase activity, tRNA (adenine-57, 58-N(1)-) methyltransferase activity, methylamine-specific methylcobalamin:coenzyme M methyltransferase activity, trimethylamine methyltransferase activity, methanol-specific methylcobalamin:coenzyme M methyltransferase activity, monomethylamine methyltransferase activity","GO:0000179, GO:0003880, GO:0008169, GO:0008170, GO:0008171, GO:0008172, GO:0008173, GO:0008174, GO:0008175, GO:0008276, GO:0008326, GO:0008425, GO:0008649, GO:0008650, GO:0009008, GO:0009383, GO:0016205, GO:0016273, GO:0016274, GO:0016278, GO:0016279, GO:0016300, GO:0016423, GO:0016424, GO:0016426, GO:0016427, GO:0016431, GO:0016433, GO:0016434, GO:0016435, GO:0016436, GO:0018423, GO:0018707, GO:0019702, GO:0030792, GO:0043770, GO:0043776, GO:0043777, GO:0043780, GO:0043782, GO:0043790, GO:0043791, GO:0043803, GO:0043827, GO:0043833, GO:0043834, GO:0043851, GO:0043852","KOG1499","Protein arginine N-methyltransferase PRMT1 and related enzymes","Transcription , Posttranslational modification, protein turnover, chaperones , Signal transduction mechanisms",NA,NA,1241,"RDEBS25848","RDEBS25848","HNRNP arginine N-methyltransferase (EC 2.1.1.-)","jgi.p|Debsub1|234925"
"5698",234940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1171,"RDEBS26379","RDEBS26379","S1R PROTEIN","jgi.p|Debsub1|234940"
"5699",235081,4472,"5.2.1.8","Peptidylprolyl isomerase.","\N","4591, 2233, 2975, 12948, 17567","protein folding, peptidyl-prolyl cis-trans isomerase activity, cyclophilin, FK506-sensitive peptidyl-prolyl cis-trans isomerase, cyclophilin-type peptidyl-prolyl cis-trans isomerase activity","GO:0006457, GO:0003755, GO:0004600, GO:0030051, GO:0042027","KOG0544","FKBP-type peptidyl-prolyl cis-trans isomerase","Posttranslational modification, protein turnover, chaperones",NA,NA,3875,"RDEBS11065","RDEBS11065","Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)","jgi.p|Debsub1|235081"
"5700",235120,4473,NA,NA,NA,"3736, 3891, 4420, 3727, 24525","ATP binding, chromosome, DNA metabolic process, protein binding, chromosome organization and biogenesis","GO:0005524, GO:0005694, GO:0006259, GO:0005515, GO:0051276","KOG0996","Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin, subunit C)","Chromatin structure and dynamics , Cell cycle control, cell division, chromosome partitioning",NA,NA,3385,"RDEBS13887","RDEBS13887","Chromosome segregation protein cut3","jgi.p|Debsub1|235120"
"5701",235175,4474,NA,NA,NA,"6099, 23775","inositol trisphosphate 3-kinase activity, inositol polyphosphate multikinase activity","GO:0008440, GO:0050516","KOG1620","Inositol polyphosphate multikinase, component of the ARGR transcription regulatory complex","Lipid transport and metabolism , Transcription , Signal transduction mechanisms",NA,NA,2990,"RDEBS16479","RDEBS16479","Inositol 1,4,5-triphosphate 6-kinase (EC 2.7.1.-)","jgi.p|Debsub1|235175"
"5702",235221,4475,NA,NA,NA,"3736, 9691, 10015","ATP binding, proton-transporting two-sector ATPase complex, hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0005524, GO:0016469, GO:0016820","KOG2909","Vacuolar H+-ATPase V1 sector, subunit C","Energy production and conversion",NA,NA,2593,"RDEBS18694","RDEBS18694","Vacuolar ATP synthase subunit C (EC 3.6.3.14)","jgi.p|Debsub1|235221"
"5703",235279,4476,"3.1.3.56","Inositol-1,4,5-trisphosphate 5-phosphatase.","Inositol phosphate metabolism","2832, 2839","inositol or phosphatidylinositol phosphatase activity, inositol-polyphosphate 5-phosphatase activity","GO:0004437, GO:0004445","KOG0566","Inositol-1,4,5-triphosphate 5-phosphatase (synaptojanin), INP51/INP52/INP53 family","Intracellular trafficking, secretion, and vesicular transport",NA,NA,2150,"RDEBS21236","RDEBS21236","Inositol-polyphosphate 5-phosphatase (EC 3.1.3.56)","jgi.p|Debsub1|235279"
"5704",235299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"RDEBS22012","RDEBS22012","Beta-glucan synthesis-associated protein","jgi.p|Debsub1|235299"
"5705",235400,4477,NA,NA,NA,"4931, 6160, 9320, 9321","sodium ion transport, bile acid:sodium symporter activity, membrane, integral to membrane","GO:0006814, GO:0008508, GO:0016020, GO:0016021",NA,NA,NA,NA,NA,5624,"RDEBS00655","RDEBS00655","Arsenical-resistance protein ACR3","jgi.p|Debsub1|235400"
"5706",235492,4478,NA,NA,NA,NA,NA,NA,"KOG2340","Uncharacterized conserved protein","Function unknown",NA,NA,4395,"RDEBS08033","RDEBS08033","Hypothetical protein","jgi.p|Debsub1|235492"
"5707",235551,4479,NA,NA,NA,"2365, 3736, 4421, 4440, 4468, 2176","DNA ligase (ATP) activity, ATP binding, DNA replication, DNA repair, DNA recombination, DNA binding","GO:0003910, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0003677","KOG0967","ATP-dependent DNA ligase I","Replication, recombination and repair",NA,NA,3624,"RDEBS12437","RDEBS12437","ATP-dependent DNA ligase (EC 6.5.1.1)","jgi.p|Debsub1|235551"
"5708",235746,4480,NA,NA,NA,"4968, 8595, 8647, 9320","multidrug transport, drug transporter activity, antiporter activity, membrane","GO:0006855, GO:0015238, GO:0015297, GO:0016020","KOG1347","Uncharacterized membrane protein, predicted efflux pump","General function prediction only",NA,NA,1557,"RDEBS24158","RDEBS24158",NA,"jgi.p|Debsub1|235746"
"5709",235780,4481,"3.4.16.5","Carboxypeptidase C.","\N","2623, 4639, 2624, 2685","serine carboxypeptidase activity, proteolysis, carboxypeptidase C activity, vacuolar carboxypeptidase Y","GO:0004185, GO:0006508, GO:0004186, GO:0004258","KOG1282","Serine carboxypeptidases (lysosomal cathepsin A)","Amino acid transport and metabolism , Posttranslational modification, protein turnover, chaperones",NA,NA,5264,"RDEBS02842","RDEBS02842","Carboxypeptidase Y (EC 3.4.16.5)","jgi.p|Debsub1|235780"
"5710",235862,4482,NA,NA,NA,NA,NA,NA,"KOG3860","Acyltransferase required for palmitoylation of Hedgehog (Hh) family of secreted signaling proteins","Signal transduction mechanisms",NA,NA,4371,"RDEBS08231","RDEBS08231","GLYCEROL ACTIVE TRANSPORTER","jgi.p|Debsub1|235862"
"5711",235999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2858,"RDEBS16849","RDEBS16849","Hypothetical protein","jgi.p|Debsub1|235999"
"5712",236009,4483,"3.7.1.5","Acylpyruvate hydrolase.","Tyrosine metabolism","2290, 5830, 22031","catalytic activity, metabolic process, acylpyruvate hydrolase activity","GO:0003824, GO:0008152, GO:0047621","KOG1535","Predicted fumarylacetoacetate hydralase","General function prediction only",NA,NA,2840,"RDEBS17321","RDEBS17321","Fumarylacetoacetate hydrolase family protein","jgi.p|Debsub1|236009"
"5713",236052,4484,"3.2.1.24","Alpha-mannosidase.","N-Glycan degradation","2938, 4143, 2290, 13135, 4181, 9229","alpha-mannosidase activity, carbohydrate metabolic process, catalytic activity, carbohydrate binding, mannose metabolic process, mannosidase activity","GO:0004559, GO:0005975, GO:0003824, GO:0030246, GO:0006013, GO:0015923","KOG4342","Alpha-mannosidase","Carbohydrate transport and metabolism",NA,NA,5458,"RDEBS02488","RDEBS02488","Alpha-mannosidase (EC 3.2.1.24)","jgi.p|Debsub1|236052"
"5714",236133,4485,"1.14.11.2","Procollagen-proline,2-oxoglutarate-4-dioxygenase.","Arginine and proline metabolism","2196, 3838, 4504, 5939, 2176, 4499, 3029, 9504, 12048","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding, DNA binding, transcription, procollagen-proline 4-dioxygenase activity, procollagen-proline, 2-oxoglutarate-4-dioxygenase complex, procollagen-proline dioxygenase activity","GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0003677, GO:0006350, GO:0004656, GO:0016222, GO:0019798",NA,NA,NA,NA,NA,4432,"RDEBS07859","RDEBS07859","Pyrimidine pathway regulatory protein 1","jgi.p|Debsub1|236133"
"5715",236139,4486,"1.1.1.1","Alcohol dehydrogenase.","Bile acid biosynthesis","5939, 9710, 2466, 2467, 2468, 2469","zinc ion binding, oxidoreductase activity, alcohol dehydrogenase activity, alcohol dehydrogenase activity, metal ion-independent, alcohol dehydrogenase activity, zinc-dependent, alcohol dehydrogenase activity, iron-dependent","GO:0008270, GO:0016491, GO:0004022, GO:0004023, GO:0004024, GO:0004025","KOG0023","Alcohol dehydrogenase, class V","Secondary metabolites biosynthesis, transport and catabolism",NA,NA,4372,"RDEBS08225","RDEBS08225","Alcohol dehydrogenase (EC 1.1.1.1)","jgi.p|Debsub1|236139"
"5716",236174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3979,"RDEBS10329","RDEBS10329","Hypothetical protein","jgi.p|Debsub1|236174"
"5717",236243,4487,NA,NA,NA,"4283, 9320, 9710","electron transport, membrane, oxidoreductase activity","GO:0006118, GO:0016020, GO:0016491","KOG4663","Cytochrome b","Energy production and conversion",NA,NA,5801,"RDEBS00017","RDEBS00017",NA,"jgi.p|Debsub1|236243"
"5718",236244,4488,"1.6.5.3","NADH dehydrogenase (ubiquinone).","Oxidative phosphorylation","4283, 9320, 5816","electron transport, membrane, NADH dehydrogenase (ubiquinone) activity","GO:0006118, GO:0016020, GO:0008137","KOG4770","NADH dehydrogenase subunit 1","Energy production and conversion",NA,NA,5750,"RDEBS00246","RDEBS00246",NA,"jgi.p|Debsub1|236244"
"5719",236247,4489,NA,NA,NA,"3721, 4283, 6669, 9321, 12251, 2176, 2910, 4472","iron ion binding, electron transport, aerobic respiration, integral to membrane, heme binding, DNA binding, endonuclease activity, intron homing","GO:0005506, GO:0006118, GO:0009060, GO:0016021, GO:0020037, GO:0003677, GO:0004519, GO:0006314","KOG4769","Cytochrome c oxidase, subunit I","Energy production and conversion",NA,NA,5612,"RDEBS00724","RDEBS00724",NA,"jgi.p|Debsub1|236247"
"5720",236249,4490,NA,NA,NA,"9298, 9320, 9691, 10015","proton transport, membrane, proton-transporting two-sector ATPase complex, hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0015992, GO:0016020, GO:0016469, GO:0016820","KOG4665","ATP synthase F0 subunit 6 and related proteins","Energy production and conversion",NA,NA,5720,"RDEBS00898","RDEBS00898","ATP synthase A chain (EC 3.6.3.14)","jgi.p|Debsub1|236249"
"5721",236250,4491,"1.6.5.3","NADH dehydrogenase (ubiquinone).","Oxidative phosphorylation","4285, 5816, 18277","mitochondrial electron transport, NADH to ubiquinone, NADH dehydrogenase (ubiquinone) activity, ATP synthesis coupled electron transport","GO:0006120, GO:0008137, GO:0042773","KOG4668","NADH dehydrogenase subunits 2, 5, and related proteins","Energy production and conversion",NA,NA,5607,"RDEBS00940","RDEBS00940","NADH-ubiquinone oxidoreductase subunit 5 (EC 1.6.5.3)","jgi.p|Debsub1|236250"
"5722",236252,4492,NA,NA,NA,"2567, 4283, 9320","cytochrome-c oxidase activity, electron transport, membrane","GO:0004129, GO:0006118, GO:0016020","KOG4664","Cytochrome oxidase subunit III and related proteins","Energy production and conversion",NA,NA,5582,"RDEBS01092","RDEBS01092","Cytochrome c oxidase polypeptide III (EC 1.9.3.1)","jgi.p|Debsub1|236252"
"5723",236253,4493,NA,NA,NA,"2567, 4283, 9320","cytochrome-c oxidase activity, electron transport, membrane","GO:0004129, GO:0006118, GO:0016020","KOG4664","Cytochrome oxidase subunit III and related proteins","Energy production and conversion",NA,NA,5797,"RDEBS00040","RDEBS00040",NA,"jgi.p|Debsub1|236253"
"5724",236254,4494,"1.6.5.3","NADH dehydrogenase (ubiquinone).","Oxidative phosphorylation","5816, 18277","NADH dehydrogenase (ubiquinone) activity, ATP synthesis coupled electron transport","GO:0008137, GO:0042773","KOG4668","NADH dehydrogenase subunits 2, 5, and related proteins","Energy production and conversion",NA,NA,5770,"RDEBS00084","RDEBS00084","NADH-ubiquinone oxidoreductase subunit 5 (EC 1.6.5.3)","jgi.p|Debsub1|236254"
"5725",236255,4495,NA,NA,NA,"9298, 9320, 9691, 10015","proton transport, membrane, proton-transporting two-sector ATPase complex, hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0015992, GO:0016020, GO:0016469, GO:0016820","KOG4665","ATP synthase F0 subunit 6 and related proteins","Energy production and conversion",NA,NA,5755,"RDEBS00208","RDEBS00208","ATP synthase A chain (EC 3.6.3.14)","jgi.p|Debsub1|236255"
